airport,airport_name,city,state,lat,long,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,201,57,9.98,0.55,22.44,0,24.02,0,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,1172,265,84.64,14.65,55.81,0,109.91,25,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,2124,477,105.02,24.5,272.71,1.39,73.37,61,2
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,180,31,4.24,0,24.25,0,2.51,1,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,3947,1005,184,14.3,494.83,0.67,311.19,151,4
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,1231,220,39.24,4.44,153.06,0,23.27,13,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,186,45,7.96,0,25.6,0,11.44,3,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,347,67,8.86,5.65,37.73,0,14.76,39,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,7,3,0,1.43,0.69,0,0.88,0,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,1104,226,33.33,1.95,142.03,0,48.69,14,3
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,162,31,8.5,0.88,17.3,0,4.32,1,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,1069,240,49.48,41.28,93.86,0,55.39,12,2
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,2282,424,106.67,11.87,181.2,0,124.26,32,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,186,22,2.61,0,16.81,0,2.58,1,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,4186,836,171.78,15.32,343.01,2.27,303.62,29,3
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,1358,251,59.53,2.92,131.69,0,56.86,0,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,209,46,8.75,0,20.42,0,16.83,2,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,169,28,6.29,0,9.27,0,12.44,0,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,1044,217,60.86,3.4,85.84,0,66.9,11,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,341,37,4.66,3.99,20.13,0,8.22,3,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,23,3,0,0,2.13,0,0.87,1,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,1181,196,32.85,6.52,107.49,1,48.14,10,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,2091,281,92.04,1.81,104.7,0.26,82.18,12,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,123,14,3.53,1.06,7.04,0,2.36,0,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,4001,465,142.23,0.95,146.41,0.97,174.45,14,0
